사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자
20180220	분당선	모란	24146	23915	20180223
20180220	1호선	서울역	61719	56870	20180223
20180220	1호선	시청	28685	28814	20180223
20180220	1호선	종각	53594	50758	20180223
20180220	1호선	종로3가	37761	35394	20180223
20180220	1호선	종로5가	30415	29981	20180223
20180220	1호선	동대문	15532	17354	20180223
20180220	1호선	신설동	17782	17567	20180223
20180220	1호선	제기동	20819	21422	20180223
20180220	1호선	청량리	27417	28416	20180223
20180220	1호선	동묘앞	10432	10934	20180223
20180220	2호선	시청	31737	30306	20180223
20180220	2호선	을지로입구	57556	56519	20180223
20180220	2호선	을지로3가	25670	25344	20180223
20180220	2호선	을지로4가	14951	14572	20180223
20180220	2호선	동대문역사문화공원	18541	21128	20180223
20180220	2호선	신당	16510	17334	20180223
20180220	2호선	상왕십리	15204	14818	20180223
20180220	2호선	왕십리	20415	16691	20180223
20180220	2호선	한양대	9180	10468	20180223
20180220	2호선	뚝섬	20306	21481	20180223
20180220	2호선	성수	33475	35888	20180223
20180220	2호선	건대입구	47072	51313	20180223
20180220	2호선	구의	27526	26774	20180223
20180220	2호선	강변	51019	49845	20180223
20180220	2호선	잠실나루	20644	19906	20180223
20180220	2호선	잠실	103864	97800	20180223
20180220	2호선	잠실새내	29646	29715	20180223
20180220	2호선	종합운동장	13203	14743	20180223
20180220	2호선	삼성	64554	66341	20180223
20180220	2호선	선릉	70154	60145	20180223
20180220	2호선	역삼	61551	67144	20180223
20180220	2호선	강남	126704	125952	20180223
20180220	2호선	교대	43872	49331	20180223
20180220	2호선	서초	26248	26966	20180223
20180220	2호선	방배	22016	22414	20180223
20180220	2호선	사당	45086	52785	20180223
20180220	2호선	낙성대	33611	32484	20180223
20180220	2호선	서울대입구	58140	56890	20180223
20180220	2호선	봉천	26364	24587	20180223
20180220	2호선	신림	77049	76800	20180223
20180220	2호선	신대방	31645	30236	20180223
20180220	2호선	구로디지털단지	74370	74990	20180223
20180220	2호선	대림	32113	33343	20180223
20180220	2호선	신도림	65183	64088	20180223
20180220	2호선	문래	23777	23864	20180223
20180220	2호선	영등포구청	26768	27176	20180223
20180220	2호선	당산	23796	27157	20180223
20180220	2호선	합정	35890	38060	20180223
20180220	2호선	홍대입구	87283	91012	20180223
20180220	2호선	신촌	52746	54208	20180223
20180220	2호선	이대	20020	21118	20180223
20180220	2호선	아현	11144	10843	20180223
20180220	2호선	충정로	13528	14265	20180223
20180220	2호선	용답	2764	2725	20180223
20180220	2호선	신답	1611	1903	20180223
20180220	2호선	신설동	4447	4310	20180223
20180220	2호선	도림천	1365	1466	20180223
20180220	2호선	양천구청	7894	8399	20180223
20180220	2호선	신정네거리	10893	11197	20180223
20180220	2호선	용두	2570	2727	20180223
20180220	3호선	지축	1469	1534	20180223
20180220	3호선	구파발	22383	20277	20180223
20180220	3호선	연신내	46351	44217	20180223
20180220	3호선	불광	20914	22807	20180223
20180220	3호선	녹번	14765	12645	20180223
20180220	3호선	홍제	21428	20519	20180223
20180220	3호선	무악재	4650	4678	20180223
20180220	3호선	독립문	8553	8911	20180223
20180220	3호선	경복궁	25350	25214	20180223
20180220	3호선	안국	27960	29732	20180223
20180220	3호선	종로3가	11758	14957	20180223
20180220	3호선	을지로3가	12109	12933	20180223
20180220	3호선	충무로	2	0	20180223
20180220	3호선	동대입구	12154	14077	20180223
20180220	3호선	약수	15719	15165	20180223
20180220	3호선	금호	9771	9018	20180223
20180220	3호선	옥수	11208	11757	20180223
20180220	3호선	압구정	40136	43524	20180223
20180220	3호선	신사	37392	40163	20180223
20180220	3호선	잠원	6959	6789	20180223
20180220	3호선	고속터미널	63958	58112	20180223
20180220	3호선	교대	17423	11743	20180223
20180220	3호선	남부터미널	41906	42246	20180223
20180220	3호선	양재	46936	50258	20180223
20180220	3호선	매봉	13481	12814	20180223
20180220	3호선	도곡	7285	7161	20180223
20180220	3호선	대치	14043	13794	20180223
20180220	3호선	학여울	2001	2028	20180223
20180220	3호선	대청	11418	10113	20180223
20180220	3호선	일원	11109	11523	20180223
20180220	3호선	수서	19405	19213	20180223
20180220	3호선	가락시장	11676	11251	20180223
20180220	3호선	경찰병원	9284	9297	20180223
20180220	3호선	오금	8012	7155	20180223
20180220	4호선	당고개	14236	13514	20180223
20180220	4호선	상계	23959	21596	20180223
20180220	4호선	노원	24991	28031	20180223
20180220	4호선	창동	31746	33758	20180223
20180220	4호선	쌍문	37465	33809	20180223
20180220	4호선	수유	43417	43135	20180223
20180220	4호선	미아	19419	18178	20180223
20180220	4호선	미아사거리	33146	32176	20180223
20180220	4호선	길음	25434	24707	20180223
20180220	4호선	성신여대입구	26472	26113	20180223
20180220	4호선	한성대입구	17370	17384	20180223
20180220	4호선	혜화	43965	44848	20180223
20180220	4호선	동대문	29635	29713	20180223
20180220	4호선	동대문역사문화공원	24795	22595	20180223
20180220	4호선	충무로	38616	39601	20180223
20180220	4호선	명동	39496	42452	20180223
20180220	4호선	회현	34734	36693	20180223
20180220	4호선	서울역	15335	24340	20180223
20180220	4호선	숙대입구	16930	16765	20180223
20180220	4호선	삼각지	5775	6752	20180223
20180220	4호선	신용산	18144	18742	20180223
20180220	4호선	이촌	9657	10804	20180223
20180220	4호선	동작	2420	2460	20180223
20180220	4호선	총신대입구	23598	26669	20180223
20180220	4호선	사당	31563	26110	20180223
20180220	4호선	남태령	2872	1171	20180223
20180220	경부선	서울역	7114	1290	20180223
20180220	경부선	남영	11538	12285	20180223
20180220	경부선	용산	43881	42266	20180223
20180220	경부선	노량진	14389	13349	20180223
20180220	경부선	대방	17100	17209	20180223
20180220	경부선	영등포	50594	52442	20180223
20180220	경부선	신도림	4135	4043	20180223
20180220	경부선	신길	11031	9173	20180223
20180220	경부선	구로	22982	23555	20180223
20180220	경부선	가산디지털단지	19250	22724	20180223
20180220	경부선	금천구청	12859	12220	20180223
20180220	경부선	석수	12510	10816	20180223
20180220	경부선	관악	8963	8469	20180223
20180220	경부선	안양	28356	28164	20180223
20180220	경부선	명학	11272	11284	20180223
20180220	경부선	금정	30091	30313	20180223
20180220	경부선	군포	8225	8301	20180223
20180220	경부선	의왕	10201	9712	20180223
20180220	경부선	성균관대	17298	16612	20180223
20180220	경부선	화서	8932	8801	20180223
