"전철역코드","외부코드","전철역명","호선","정류장명","정류장ID","X좌표","Y좌표"
"0159","127","동묘앞","1","창신동두산아파트","01231","201375","452732"
"2637","636","동묘앞","6","창신동두산아파트","01231","201375","452732"
"1458","443","금정","4","산본1동","40059","194894","430425"
"1458","443","금정","4","산본1동","40066","194925","430433"
"2522","521","오목교","5","오목공원","15162","188845","447449"
"0427","427","숙대입구","4","숙대입구역","03010","197547","449365"
"0158","124","청량리","1","현대코아","06284","203964","453590"
"0202","202","을지로입구","2","을지로입구역광교","02246","198452","451991"
"1859","K232","오리","B","낙생농협","47162","209746","426510"
"1805","150","송내","1","송내역","46086","178268","443268"
"2543","542","답십리","5","용답동동부시장답십리역","04218","204750","451802"
"1709","P150","군포","1","군포역","40008","195210","428141"
"1709","P150","군포","1","군포역","40007","195265","428328"
"2545","544","군자","5","능동사거리","05253","206983","450800"
"2727","725","군자","7","능동사거리","05253","206983","450800"
"2721","719","중화","7","중화역입구대원사입구","07396","206878","455798"
"2744","742","보라매","7","동작세무서","19310","192899","444372"
"1015","123","회기","1","회기역종점","06269","205199","454488"
"1200","K118","회기","K","회기역종점","06269","205199","454488"
"0214","214","강변","2","테크노마트앞","05686","208394","448577"
"4107","907","가양","9","가양동우성아파트","16259","187100","451339"
"4107","907","가양","9","가양동우성아파트","16260","187100","451383"
"4109","909","등촌","9","영일고등학교강서도서관","16173","187927","449955"
"1903","113","도봉산","1","도봉산역","10001","204007","465506"
"2712","710","도봉산","7","도봉산역","10001","204007","465506"
"2750","748","광명사거리","7","광명사거리","38022","187147","442201"
"0241","241","이대","2","이대역","13140","195310","450834"
"2737","735","내방","7","방배보건분소","22231","199479","443025"
"4107","907","가양","9","가양3동현대아파트","16258","187332","451224"
"0312","322","불광","3","양광교회","12255","193728","456558"
"2613","612","불광","6","양광교회","12255","193728","456558"
"2521","520","목동","5","목동역","15692","188043","447330"
"2749","747","철산","7","광명경찰서","38110","188464","441612"
"0208","208","왕십리","2","성동구청","04111","203209","451525"
"2541","540","왕십리","5","성동구청","04111","203209","451525"
"1013","K116","왕십리","K","성동구청","04111","203209","451525"
"0249","234-3","신정네거리","2","신정네거리역","15251","187024","446722"
"0420","420","혜화","4","혜화역동성중고(장면총리가옥)","01229","200153","453894"
"2748","746","가산디지털단지","7","가산디지털단지역","18226","189664","442453"
"1702","P142","가산디지털단지","1","가산디지털단지역","18226","189664","442453"
"4125","925","신논현","9","교보타워앞","22193","202108","444998"
"2533","532","서대문","5","서대문경찰서","02262","197131","451755"
"2644","643","돌곶이","6","장위동동원베네스트","08143","205206","456945"
"2644","643","돌곶이","6","돌곶이역","08141","205155","456865"
"0311","321","연신내","3","연신내역","12203","192908","457609"
"2615","614","연신내","6","연신내역","12203","192908","457609"
"0416","416","미아사거리","4","미아삼거리역","09260","202625","457315"
"1701","141","구로","1","구로공구상가","17897","189353","444889"
"0233","233","대림","2","대림역","17881","190664","443778"
"2746","744","대림","7","대림역","17881","190664","443778"
"0233","233","대림","2","대림역","19839","190703","443924"
"2746","744","대림","7","대림역","19839","190703","443924"
"0229","229","봉천","2","봉천역","21832","194885","442572"
"0228","228","서울대입구","2","관악구청","21834","195780","442282"
"0245","211-2","신답","2","신답초등학교앞","06005","203952","452474"
"1003","135","용산","1","신용산역","03004","197050","447608"
"0429","429","신용산","4","신용산역","03004","197050","447608"
"1290","K110","용산","K","신용산역","03004","197050","447608"
