사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자	승하차
20180119	2호선	강남	132511	136530	20180122	269041
20180112	2호선	강남	126847	128961	20180115	255808
20180117	2호선	강남	126236	124712	20180120	250948
20180118	2호선	강남	125701	124847	20180121	250548
20180126	2호선	강남	122901	124864	20180129	247765
20180212	2호선	강남	124090	122638	20180215	246728
20180115	2호선	강남	123197	121702	20180118	244899
20180201	2호선	강남	122868	122015	20180204	244883
20180207	2호선	강남	122977	121561	20180210	244538
20180208	2호선	강남	122226	121312	20180211	243538
20180206	2호선	강남	121007	119053	20180209	240060
20180122	2호선	강남	120786	118306	20180125	239092
20180123	2호선	강남	120455	118347	20180126	238802
20180131	2호선	강남	118418	117626	20180203	236044
20180125	2호선	강남	118124	116139	20180128	234263
20180130	2호선	강남	118692	114779	20180202	233471
20180205	2호선	강남	117603	115861	20180208	233464
20180124	2호선	강남	117879	115528	20180127	233407
20180129	2호선	강남	114995	113903	20180201	228898
20180120	2호선	홍대입구	95697	110514	20180123	206211
20180120	2호선	강남	97764	102876	20180123	200640
20180113	2호선	홍대입구	92958	107530	20180116	200488
20180203	2호선	홍대입구	93158	104744	20180206	197902
20180119	2호선	잠실(송파구청)	100251	94251	20180122	194502
20180113	2호선	강남	94095	99468	20180116	193563
20180203	2호선	강남	94467	97848	20180206	192315
20180118	2호선	잠실(송파구청)	96531	91632	20180121	188163
20180127	2호선	강남	90296	94262	20180130	184558
20180112	2호선	잠실(송파구청)	94960	89334	20180115	184294
20180117	2호선	잠실(송파구청)	94059	88997	20180120	183056
20180126	2호선	잠실(송파구청)	93995	88377	20180129	182372
20180130	2호선	잠실(송파구청)	93843	88506	20180202	182349
20180212	2호선	잠실(송파구청)	93256	88853	20180215	182109
20180119	2호선	홍대입구	84138	97476	20180122	181614
20180131	2호선	잠실(송파구청)	92705	88551	20180203	181256
20180127	2호선	홍대입구	84673	96204	20180130	180877
20180208	2호선	잠실(송파구청)	93263	87470	20180211	180733
20180201	2호선	잠실(송파구청)	92319	87072	20180204	179391
20180115	2호선	잠실(송파구청)	90730	86579	20180118	177309
